[2026-06-13 16:00:57,087: INFO: main: Starting the main.py script for Kidney Disease Classification.]
[2026-06-13 21:43:03,365: INFO: common: yaml file: config/config.yaml loaded successfully]
[2026-06-13 21:43:03,371: INFO: common: yaml file: params.yaml loaded successfully]
[2026-06-13 21:43:23,598: INFO: common: yaml file: config/config.yaml loaded successfully]
[2026-06-13 21:43:23,599: INFO: common: yaml file: params.yaml loaded successfully]
[2026-06-13 21:45:35,042: INFO: common: yaml file: config/config.yaml loaded successfully]
[2026-06-13 21:45:35,044: INFO: common: yaml file: params.yaml loaded successfully]
[2026-06-13 21:45:35,045: INFO: common: Directory created at: artifacts]
[2026-06-13 21:45:35,045: INFO: common: Directory created at: artifacts/data_ingestion]
[2026-06-13 21:45:35,046: INFO: 1405764235: Downloading data from https://drive.google.com/file/d/1WSK-5rF2zvIf3x7YudZqlH5pegDIJAwF/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-06-13 21:53:36,593: INFO: 1405764235: Downloaded data from https://drive.google.com/file/d/1WSK-5rF2zvIf3x7YudZqlH5pegDIJAwF/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-06-13 22:28:32,558: INFO: main: >>>>> stage Data Ingestion Stage started <<<<<]
[2026-06-13 22:28:32,559: INFO: common: yaml file: config/config.yaml loaded successfully]
[2026-06-13 22:28:32,559: INFO: common: yaml file: params.yaml loaded successfully]
[2026-06-13 22:28:32,559: INFO: common: Directory created at: artifacts]
[2026-06-13 22:28:32,559: INFO: common: Directory created at: artifacts/data_ingestion]
[2026-06-13 22:28:32,559: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1WSK-5rF2zvIf3x7YudZqlH5pegDIJAwF/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-06-13 22:36:24,019: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1WSK-5rF2zvIf3x7YudZqlH5pegDIJAwF/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-06-13 22:36:32,305: INFO: main: >>>>> stage Data Ingestion Stage completed <<<<<

x==========x]
